"Group.1","Group.2","V1","V2"
"Male","1987",1,1
"Female","1995",1,1
"Male","1995",4,4
"Male","1999",1,1
"Male","2000",4,4
"Male","2001",1,1
"Female","2002",1,1
"Male","2002",6,6
"Male","2003",12,12
"Female","2004",1,1
"Male","2004",10,10
"Female","2005",1,1
"Male","2005",14,14
"Female","2006",2,2
"Male","2006",34,34
"Male","2007",49,49
"Female","2008",2,2
"Male","2008",42,42
"Female","2009",6,6
"Male","2009",34,34
"Female","2010",4,4
"Male","2010",45,45
"Female","2011",7,7
"Male","2011",65,65
"Female","2012",1,1
"Male","2012",40,40
"Female","2013",3,3
"Male","2013",46,46
